timestamp_anon,value,container_ip
1662871773.0,3361.0,25da09a77268ccc99a7968b3e453b8f0
1662871773.0,2276.0,a30164105048dbb43e05e3553bf6d010
1662871773.0,20920.0,ab6c9a95802b688bd7d1aec6ccddef2c
1662871773.0,7934.0,05d1c1aea3ae65f6666bb406277c202b
1662871773.0,3933.0,f454d558b9ee961a3f617cfd5aa202eb
1662871773.0,5315.0,d344a049313e96d10493b3ed139612d8
1662871773.0,5458.0,3fa8c0fcbd73508ae6cf1c521d80c208
1662871773.0,2755.5,aa387669ec783d3503866571da0357f2
1662871773.0,2486.0,2a879423614836f63138bd4162830d8b
1662871773.0,4976.0,e87d4367d48235f575e55c0e30231cfc
1662871773.0,3106.0,0967ff61bfabc7475c2cac1bc3159c77
1662871773.0,2210.0,de8400f0dfdaccda62c4167ef8a82eae
1662871773.0,2678.0,ccfa8e249adb8794109c9c63628a2406
1662871773.0,9578.0,bfa90d30d1e44bf2416876b624184cdb
1662871830.0,4254.5,4679f355d4cb3ce3f577d45b87911032
1662871830.0,4228.0,05d1c1aea3ae65f6666bb406277c202b
1662871830.0,6059.0,fefad5c69928405ac8f5a83e1701dc2a
1662871830.0,16104.0,7a9e1de05ed005ace483873a453a2c2f
1662871830.0,3914.0,47b8e9570e070b44b42aea42847314c2
1662871830.0,13419.0,9ba6962ff3800a22cf65c8311a9d4738
1662871830.0,5966.0,318c38ff6e07f7ee98c882821e7d06d1
1662871830.0,5268.0,91378e1ad2e669ccb6be27bf8d6d2765
1662871830.0,1872.0,6aa82f708c1321cd86dacb1289082ae0
1662871830.0,2308.0,63beb1b84354963cd40aa5fbdac96110
1662871830.0,8302.0,35e82ff20955837d507171422a46cbab
1662871830.0,2878.0,c602ea5b5d53cff36e7b1187097ad00f
1662871830.0,2103.5,13822d07b1dbc9edbcaa6f3851e72ae3
1662871830.0,3456.0,4356d7414e2a134239fb1dcf7f94309b
1662871830.0,10504.0,11415d99a127e215d2148a1f6600007f
1662871830.0,11779.0,606dc9f287c653e579ae3e6bcd2c1ac0
1662871830.0,2713.0,33bb3250acf588bc98aa04b84527552e
1662871830.0,7114.0,aa786acb8d12b35cacb997280cf4f2db
1662871830.0,4293.0,e776c1394c8dcbefd2e42a61a4c970b7
1662871830.0,3167.0,584f6be687a198a5ba43e56455ee25cc
1662871830.0,2451.5,fd0116f494569215a44314670a86eeb3
1662871830.0,3088.5,d344a049313e96d10493b3ed139612d8
1662871830.0,9871.0,ae3389e2979abd8ba8c1eeb9868697e0
1662871830.0,3542.0,422a17167a70a752321d08cb80ac1c0a
1662871830.0,10585.0,0e1eea513e63bd1b3648013b6623ff0c
1662871830.0,3851.0,ae4a8bfb2bc417cc15578aea9d4027c1
1662871830.0,4156.0,a30164105048dbb43e05e3553bf6d010
1662871830.0,3027.5,5e40edcef6b4fdcc79c56ef317edbdae
1662871830.0,5951.0,ff0a53d0bc20c807643d80daf7c71887
1662871830.0,9539.0,fd2e6a49d33e73344135073433648309
1662871830.0,5661.0,d4088cf8e0a581a6b7680dc429fac882
1662871830.0,2229.0,53843228d151577c6d962cc43263a598
1662871830.0,2900.0,ee7b3de9b30f3565fb995abe7f10a846
1662871830.0,420.0,cbfb6b40cb1caa54ab6de789bb801645
1662871830.0,5420.0,315a3a55de541f70b9f3d816692ac9a2
1662871830.0,8750.0,4d8eab038486f8a99df7bbb7fc0ffd53
1662871830.0,15849.0,4eebc12c3c635c5bed7b9b681c348597
1662871830.0,5817.0,d629bfc8f81fec7b9d97d5e6d8064cd0
1662871830.0,7099.0,a1fbabac15350e73437a372d0e988575
1662871830.0,8998.0,c26bb102ece5cb17c9971c57abadf7b2
1662871830.0,15153.0,41f81ea9810a29e8ba32801ef7d30271
1662871830.0,6260.0,96c64ba31f81010967b49666a3a0990c
1662871830.0,2474.0,6d55d93699886aea999a6489388d2204
1662871830.0,5700.0,0e7c45fddf2f1dda1b518dbb5d3066a0
1662871830.0,20944.0,25da09a77268ccc99a7968b3e453b8f0
1662871830.0,9186.0,58c43bcd9763c4cc785712bb28ba86fc
1662871830.0,17284.0,ccfa8e249adb8794109c9c63628a2406
1662871830.0,3772.0,f454d558b9ee961a3f617cfd5aa202eb
1662871830.0,2621.0,3c7ef9788021d0eacaaec67022b1425f
1662871830.0,2782.0,df3235eae04c7621c688ab5ee3ccf8de
1662871830.0,451.0,fa0717327354a06b4ceeef6d7f249160
1662871830.0,3736.0,85c29ff41b120b51470d6ccefa14d9f2
1662871830.0,10040.0,a019eb612e9112ab02318c84bae93550
1662871830.0,3189.0,1b93d19ce2184dfb0dec13f67a2f1693
1662871830.0,5777.0,f392bd1ee904f910cefa1ba6656ec8b4
1662871830.0,11824.0,35bb9f389301b325c443320fe0466a46
1662871887.0,11165.0,e87d4367d48235f575e55c0e30231cfc
1662871887.0,2779.0,91378e1ad2e669ccb6be27bf8d6d2765
1662871887.0,18123.0,3b90a898e6de1e8df928ac6175f92bde
1662871887.0,5517.0,ccfa8e249adb8794109c9c63628a2406
1662871887.0,7426.0,0967ff61bfabc7475c2cac1bc3159c77
1662871887.0,2611.5,25e8f3734b4bedd8778eb6fe4c6e47b6
1662871887.0,530.0,96c64ba31f81010967b49666a3a0990c
1662871887.0,18605.0,64da6457529be15c3704c13cc1b12c24
1662871887.0,2823.0,13822d07b1dbc9edbcaa6f3851e72ae3
1662871887.0,4669.5,fa0717327354a06b4ceeef6d7f249160
1662871887.0,3104.0,4d5a5c26f37c024018e644831c36ccbf
1662871887.0,2488.0,6aa82f708c1321cd86dacb1289082ae0
1662871887.0,2130.5,2a879423614836f63138bd4162830d8b
1662871887.0,3906.5,723a4269ab876cb161b58f5d3f14aad1
1662871887.0,3987.0,dfe00e981377fa8e0a9aefbc9b2e9369
1662871887.0,2426.5,584f6be687a198a5ba43e56455ee25cc
1662871887.0,13290.0,4d8eab038486f8a99df7bbb7fc0ffd53
1662871887.0,331.0,85c29ff41b120b51470d6ccefa14d9f2
1662871887.0,2402.0,e776c1394c8dcbefd2e42a61a4c970b7
1662871887.0,3084.0,11415d99a127e215d2148a1f6600007f
1662871887.0,4312.0,777fe76b24e39e6c7e82c5a8b4a4a278
1662871887.0,5372.5,aa786acb8d12b35cacb997280cf4f2db
1662871887.0,4120.0,bfa90d30d1e44bf2416876b624184cdb
1662871887.0,2170.0,a30164105048dbb43e05e3553bf6d010
1662871887.0,18821.0,ee7b3de9b30f3565fb995abe7f10a846
1662871887.0,4004.0,fd2e6a49d33e73344135073433648309
